index,pressao_max,pressao_atmosferica,pressao_min,velocidade_media_vento,rajada_max,radiacao,precipitacao,direcao_vento,temperatura_max,temperatura_do_ar,temperatura_min,umidade_min,umidade_relativa,umidade_max,temperatura_orvalho_min,temperatura_orvalho,temperatura_orvalho_max,MediaModuloCorrelacoes
A601,-0.07791153259334425,-0.0767756289814083,-0.07553219855557762,-0.1865768654164266,-0.08862008694444672,0.028672260412049438,-0.017201485742781852,0.0430167340869605,0.06718038710963314,0.06879412270464308,0.07117223244870759,-0.037528588764991856,-0.04777371796618003,-0.058645947231480706,0.03606328656277996,0.03704948241324829,0.03779682338992539,0.062135963607328544
A602,-0.09686904970132096,-0.0953131063029287,-0.09407618810844645,-0.06661502088871267,-0.09126252896726637,0.06464155985947449,-0.02048335003747708,0.0017223890548637001,0.10129487644306642,0.10630251284640829,0.11223158740400731,0.0644174301520145,0.07221886619682617,0.07410754684119683,0.1996318944866951,0.20227505209061708,0.20372377096254624,0.09806980766728639
A603,-0.09023224808860135,-0.08874647920489648,-0.08759116696319941,-0.13787671804127988,-0.07305744625162801,-0.11848172432279627,-0.02208829590906946,0.05030663295519519,0.12634028843407277,0.12861980204463722,0.12788510027673947,-0.10478065498611838,-0.10375071971171645,-0.10304102386293204,0.08167644473595284,0.10010374108060228,0.11315175891600933,0.09751354386973217
A604,-0.06325565912840604,-0.06227722789992539,-0.060925542298261776,0.0020000234537899384,-0.06585851389629052,0.028420868572104522,0.03422112186359682,0.12863622151545254,0.04981519404047434,0.04880032923777563,0.04863353223986949,0.1592449505217071,0.17313614663536564,0.19688550608010172,0.1598007638078962,0.1666329588433354,0.17048685727987126,0.09523714219495438
A606,-0.09635884511293558,-0.09720788825643195,-0.0946953828164878,-0.05420882767206722,-0.05324803122803239,-0.08747922077255098,-0.01661806671681592,0.1386368889101748,0.18355572825362138,0.18137370332945765,0.17753367738107315,0.006459054170632544,0.044399043998189565,0.047800172152359835,0.14349452773427476,0.16622220751489364,0.16954766343963448,0.1034611134976255
A607,-0.07933186084582208,-0.07863401166056125,-0.07777389633162046,-0.11089826157319611,-0.08250245039593779,0.0497978522188816,-0.05079758791200629,0.11761902590805534,0.07023027614303051,0.06957920145601434,0.06876634314583144,0.11049490418766786,0.11054425088115763,0.11590761731434074,0.11617930436798272,0.11952407610047458,0.12227662453242492,0.09122691441029444
A608,-0.10723992976798552,-0.10621199087604886,-0.10557199288777341,-0.14694221300436885,-0.12535066431261663,0.02259362370241035,0.026140725424547727,0.09976807181985217,0.08637778225241655,0.09222902327600403,0.09729839377064385,0.14893546146834716,0.14747489843290765,0.14900440682090196,0.19458047461138386,0.19326798401714507,0.19266252583901927,0.12009706836966902
A609,-0.08454390300539902,-0.08246039576127154,-0.08154051194640635,-0.09935551719031084,-0.07860064121000045,-0.08350341349126712,-0.02576886157951381,0.07692444070633458,0.050377889215059805,0.04942744944720411,0.049644554356811296,0.04452645985137354,0.04642022785392575,0.05007654016304614,0.08637113282933667,0.08949610914781195,0.08815390382145681,0.06865835009273703
A610,-0.20131897915792982,-0.19830476138613204,-0.19868181936347418,0.012379204446396088,-0.010794380903396667,0.00614049903033414,0.03898937173596596,0.32670310628938765,0.063254428971396,0.0731138646779799,0.08616146361549391,0.2935550031495198,0.300537953928476,0.31400531753138494,0.14566804792930776,0.14147829699738187,0.1422552040036844,0.15019657077162596
A611,-0.10223975073192972,-0.10009413660521435,-0.1008777570614473,-0.031739196688703834,-0.07157239270547817,0.034501691406430376,0.021478413040171188,-0.4085849799061741,0.08209500866334778,0.08045441966467921,0.08183781399960491,0.07308777708583153,0.0737208395803259,0.078337967520819,0.13913251531448328,0.13723762411508256,0.13978031923625445,0.10333956490152811
A618,-0.07587302594930309,-0.07479235185498519,-0.07462232978770425,0.1406922694260547,0.013975184531831214,-0.1341848778151297,0.017779246146948022,0.06275263326422664,0.08092940927890174,0.08114076576468517,0.08149668085016537,-0.008482148834339821,-0.0020207492046880665,0.004327758288136381,0.09833492367862662,0.10365121265042108,0.10921896099987075,0.068486736960354
A619,-0.08466545887356901,-0.08355703334148447,-0.08271301664546034,0.033838299142983815,-0.0027883613132740253,-1.366680701330067e-05,-0.02687861242034171,0.04116263686583989,0.09286507369625442,0.0981350652520005,0.10043023011394837,0.10159916294407366,0.10817067208279928,0.11979908074970674,0.12858334654641254,0.1312802191955459,0.13126015696458573,0.08045529958560552
A620,-0.10815585088985392,-0.10793607580002416,-0.10666277091411253,-0.014451794410553085,-0.01162008959111957,-0.16559018034594017,-0.01731561269253844,0.04420464023412433,0.13696013438026516,0.1326826585605962,0.13043158953506206,0.15439578399325296,0.1743709691757521,0.18216302156403946,0.24617887106862085,0.253092093364647,0.25563378271227233,0.13187328936663378
A621,-0.09580261280402201,-0.09325541007387975,-0.09367041072260068,-0.15146872898271146,-0.10312537325223184,-0.16528158449617436,-0.022490430633298013,0.02779273265077394,0.054389997239314106,0.06082601628857686,0.06042036783451189,0.23211636035642658,0.23999495196663734,0.25735601190524016,0.1942550171563037,0.1939724999193982,0.19484100531631038,0.1318270300940242
A624,-0.06554056020708592,-0.063323582867575,-0.06387783923632466,-0.11326651808775906,-0.0821480002791798,0.031102690741543204,0.0560416151258187,0.13990452336193257,0.08564483686301604,0.08348644024815069,0.08330620012118725,-0.09220762164605308,-0.11108685249242425,-0.1258810315734617,0.026776995762173097,0.028780580002262305,0.03395686597330482,0.07566663262289718
A625,-0.08108884654982053,-0.08078516250628355,-0.07991756699822286,-0.1617628410247254,-0.14103694377142922,-0.06037153941959161,0.041719407710514876,0.021753431804410594,0.02871017822460488,0.031013557890802762,0.03377153803513153,0.20373985029227978,0.20522866890977592,0.2039885215129606,0.1550444557060343,0.15815860686332803,0.1609606647707366,0.10876775188180314
A626,-0.10125087415364825,-0.10008760225701631,-0.09899761783643556,-0.22929480235197824,-0.1651146970521655,-0.017598676864755112,0.026439542021837032,0.26546210766755424,0.06729462047517175,0.06851967925514266,0.06780270836445232,0.2232506934323533,0.22292767589192033,0.222456191970274,0.14259915619026267,0.14088482544611322,0.1379878535930532,0.13517466616612547
