index,pressao_atmosferica,pressao_max,pressao_min,velocidade_media_vento,rajada_max,radiacao,temperatura_max,temperatura_do_ar,temperatura_min,direcao_vento,temperatura_orvalho_min,temperatura_orvalho_max,temperatura_orvalho,precipitacao,umidade_relativa,umidade_max,umidade_min,MediaModuloCorrelacoes
A601,-0.2086923346505192,-0.20952955405658405,-0.2078445115268735,-0.5135158074163283,-0.3265654974005125,-0.0017346648540014957,0.05685190083871476,0.06287887525758383,0.06913814849401219,0.12296866922490222,0.01811235525049314,0.01627196057523954,0.016630446811640776,0.20336017837277956,-0.07681108108875083,-0.07145472853943997,-0.03611256086709341,0.13049842795443936
A602,-0.20551636545223906,-0.20627930440973002,-0.2047578874689043,-0.05106135685872516,-0.06679905654026616,0.16488849573740158,0.17069157942533061,0.17406879004280515,0.17763154844436876,0.0031476948211433473,0.2035009452445359,0.20685755023382327,0.20433828854719988,0.2611422785677823,0.24946853260408186,0.20162526791606378,0.2731581481998459,0.17793724061848512
A603,-0.18805310716028717,-0.1888749267302668,-0.1873696257511681,-0.23677039118559737,-0.06733334212730017,-0.19197040574490928,0.23475801113292064,0.23754661435175584,0.2384328965771923,0.23350933080009798,0.13465574177694192,0.18270542582702046,0.1688685491362627,0.1870151192678406,0.10834087425407866,0.16816324739107225,0.1287789928177682,0.18136156482544005
A604,-0.1273187832452037,-0.12803549982798512,-0.12657637070113983,0.017053364718194873,-0.05677358100191746,0.08881850933160387,0.14082697770968572,0.14184178953883889,0.1437714991418851,0.036349102344351784,0.2327645569503336,0.233481260559292,0.2335318064790517,0.20997861495950387,0.2324907537149552,0.34655959854916696,0.3061349934030725,0.16484159189271658
A606,-0.2106611036398744,-0.2115197951640712,-0.21097566854331753,-0.1395286671353034,-0.1397841816925551,0.010219272844076768,0.2531746706360807,0.2648230935892926,0.24709371730994575,0.5529659541913143,0.047761437521,0.06574742155352571,0.07309155559209675,0.26528175135619064,0.17936482700763853,0.16143540334765552,0.14026541157468664,0.18668787839403678
A607,-0.0030082443084112256,-0.003311914901986785,-0.002745436336314935,-0.06294137631131844,0.019761823144350096,0.2704791138059918,0.22743742863399355,0.22927239941080094,0.23223162482235887,0.23305503486766582,0.2909200305374073,0.29563104126388956,0.29233352192677575,0.2856431199415609,0.4369445943866893,0.4749574064734371,0.47276084758255305,0.22549617403855915
A608,-0.35295343711715715,-0.3536468485096696,-0.3524682510940161,-0.42176819654719716,-0.36669223516744504,0.011617441544734137,0.11137984729061991,0.12122338912737957,0.1292891836430512,0.20521106412742324,0.24229949034104853,0.23775784541675044,0.23993488212224773,0.33261367395297214,0.3402485487757244,0.32838347980937976,0.3356362721555636,0.26371318157308116
A609,-0.20343448271328216,-0.20442943807517763,-0.20377746677043615,-0.09954308712456339,-0.05643137216952146,-0.35242679119759857,0.019231242276100735,0.02576880425957455,0.02929842282606835,0.10101953112926605,0.13522550014730636,0.12443041155187995,0.1347230867767221,0.29698644450964007,0.09781725077791868,0.1357753138871795,0.13983101737561307,0.13883233315104992
A610,-0.12484069269137388,-0.12516056498156422,-0.1251059241329558,-0.09647463396680114,-0.12395979933165502,-0.10703532404715234,0.009257754811561039,0.019604236744072506,0.03762174618143691,0.5673658108970542,0.03823325672442797,0.02157925541941768,0.02588487588722389,0.12381384523090981,0.5059366780216792,0.5106732983690861,0.5117809884050077,0.18084286387313994
A611,0.046450320780924405,0.04693220554806993,0.04627359203592771,0.02225904468571716,-0.010388189725287466,0.0794735804385574,0.10386618812030979,0.10469415302123407,0.10503522462817905,0.0537669655641281,0.15108069670354488,0.14799166978454442,0.14893113350156295,0.2628534735667456,0.32173466295690467,0.3319654766413043,0.3285104656992553,0.13601217902365867
A618,-0.23962458877589407,-0.24045643676104267,-0.23973277037930116,0.19276966083422784,-0.018111784092089054,-0.3481975638013117,0.14363914573829947,0.15536161540698434,0.15030521120392346,-0.1365712050983482,0.18178950334524044,0.1868980240759822,0.1917068578975128,0.20206283078211235,0.0857811989597681,0.13777659047968452,0.13069026046401014,0.1753808969468078
A619,-0.16362866576963983,-0.16381199242270378,-0.16337292683605095,0.04662623527994809,-0.028002467823959397,0.12169655191329799,0.19000396761082627,0.19642637580815062,0.20037745310063906,0.2300015906467333,0.23896236526806408,0.23546074603332148,0.2383920490173153,0.2918108611217858,0.44189260969473115,0.441389672725973,0.44193311738869356,0.22551703814481378
A620,-0.20433861765359296,-0.19759182479079457,-0.19733744647655568,-0.04462991591944266,-0.056006170265246194,-0.14209411717377998,0.23535202515346934,0.22174475318455428,0.22148556381883758,0.08176354396225356,0.2167033416836408,0.21801728042859755,0.22000348374020381,0.17087839007549946,0.2912212695514488,0.2864555614636794,0.2766426185973056,0.19307446611405307
A621,-0.21506606405064455,-0.1388572971940553,-0.13806664160844515,-0.20686594775039271,-0.08380692539022089,-0.20623348679445574,0.13322993509228784,0.13838051061489243,0.14890985428934142,0.5452518070566268,0.31427335872773027,0.31160452918717324,0.3105594961109259,0.21038613267588036,0.7199749545388204,0.7221935882166386,0.7234824383748046,0.30983193927490216
A624,-0.09350174319820759,-0.09386880144041525,-0.0925530925409267,-0.21211219937452047,-0.10698111848544477,0.02253822068468734,0.16658885694282358,0.16637203628188324,0.16875561341317794,0.16222729919267792,0.0783165666303415,0.0784111895769684,0.07765498423503892,0.30231662806492315,-0.07468115832085306,-0.061925934734726,-0.051075721629071556,0.11822830380862867
