,data,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento
0,2015-01-01,,,,,,,,,,,,,,,,,
1,2015-01-02,,,,,,,,,,,,,,,,,
2,2015-01-03,,,,,,,,,,,,,,,,,
3,2015-01-04,,,,,,,,,,,,,,,,,
4,2015-01-05,,,,,,,,,,,,,,,,,
5,2015-01-06,,,,,,,,,,,,,,,,,
6,2015-01-07,,,,,,,,,,,,,,,,,
7,2015-01-08,,,,,,,,,,,,,,,,,
8,2015-01-09,,,,,,,,,,,,,,,,,
9,2015-01-10,,,,,,,,,,,,,,,,,
10,2015-01-11,1.2083333333333333,970.675,971.1333333333332,970.3916666666668,,25.945833333333336,20.98333333333333,26.73333333333333,25.133333333333336,22.26923076923077,20.207692307692305,-3702.875,-3711.0833333333335,-2446.083333333333,234.58333333333331,5.983333333333333,2.1333333333333333
11,2015-01-12,1.2083333333333333,1940.9499999999998,1941.7125,1940.3833333333337,,52.82916666666667,43.0047619047619,54.37916666666666,51.19166666666667,45.53846153846154,41.26153846153846,-8249.458333333332,-8263.041666666666,-6575.25,483.9583333333333,9.554166666666667,3.283333333333333
12,2015-01-13,1.2083333333333333,2913.5375,2914.541666666667,2912.591666666667,,78.825,65.04365079365078,81.04999999999998,76.56666666666666,68.39957264957265,62.47820512820512,-10689.708333333332,-10710.083333333334,-9018.541666666666,651.2083333333333,14.120833333333334,5.054166666666666
13,2015-01-14,1.5166666666666666,3887.458333333333,3888.7791666666667,3886.179166666667,,103.75,86.32936507936508,106.62083333333332,101.0375,90.57957264957265,83.21820512820511,-14390.208333333332,-14415.958333333334,-13142.208333333334,851.4583333333333,18.46666666666667,6.329166666666667
14,2015-01-15,2.25,4862.308333333333,4863.858333333334,4860.7125,,127.97500000000001,107.74936507936508,131.47083333333333,124.7375,113.14957264957265,103.63820512820513,-20191.041666666664,-20222.041666666664,-18945.666666666668,1042.5,22.34166666666667,7.508333333333333
15,2015-01-16,2.275,5838.058333333333,5839.883333333333,5836.208333333334,,152.8125,127.672442002442,156.725,148.97083333333333,134.08034188034188,122.65358974358973,-24737.208333333332,-24773.666666666664,-23494.875,1226.7916666666665,25.570833333333333,8.741666666666667
