,data,precipitacao,pressao_atmosferica,radiacao,umidade_relativa,velocidade_media_vento
0,2015-01-01,0.0,1009.4208333333332,2095.7571428571428,64.875,1.8375
1,2015-01-02,0.0166666666666666,2018.6499999999999,4018.7714285714283,131.5,3.933333333333333
2,2015-01-03,0.1333333333333332,3032.3875,4765.599999999999,212.58333333333331,5.887499999999999
3,2015-01-04,0.5166666666666665,4047.1499999999996,6057.2357142857145,296.0,7.341666666666666
4,2015-01-05,2.2416666666666667,5062.933333333333,6903.057142857143,381.4166666666667,8.429166666666665
5,2015-01-06,2.5583333333333336,6079.304166666667,8853.450476190475,461.75,10.087499999999999
6,2015-01-07,2.5583333333333336,7092.920833333334,11008.929047619047,536.8333333333334,11.9375
7,2015-01-08,2.5583333333333336,8105.933333333333,12963.771904761905,610.0416666666666,13.549999999999999
8,2015-01-09,2.5583333333333336,9117.933333333332,15118.214761904761,679.5416666666666,15.395833333333332
9,2015-01-10,2.5583333333333336,10129.495833333332,17163.68619047619,749.5833333333334,17.591666666666665
10,2015-01-11,2.5583333333333336,11141.8125,19135.279047619046,824.125,19.379166666666666
11,2015-01-12,2.5583333333333336,12153.645833333334,21204.01476190476,896.5,21.17083333333333
12,2015-01-13,2.5583333333333336,13165.6,23247.950476190475,965.8333333333334,23.291666666666664
13,2015-01-14,2.5583333333333336,14178.316666666668,24342.771904761903,1044.0,25.079166666666666
14,2015-01-15,2.5583333333333336,15191.295833333334,27552.71857142857,1119.5416666666667,27.23333333333333
15,2015-01-16,2.5583333333333336,16205.804166666667,29637.55857142857,1195.1666666666667,29.254166666666666
16,2015-01-17,2.5583333333333336,17218.033333333333,32479.83751879699,1267.0833333333333,31.5625
17,2015-01-18,2.5583333333333336,18229.895833333332,34765.33163644405,1338.4166666666667,33.7875
18,2015-01-19,2.5583333333333336,19242.32083333333,37029.91496977738,1411.625,35.975
19,2015-01-20,2.5583333333333336,20253.033333333333,39219.14354120595,1487.25,38.18333333333333
20,2015-01-21,3.35,21264.304166666665,39789.00354120595,1563.75,40.1875
21,2015-01-22,3.523913043478261,22277.921557971014,42399.37020787262,1227.4583333333333,41.84836956521739
22,2015-01-23,4.240579710144928,23292.79239130435,42399.37020787262,1315.8333333333333,42.98170289855072
23,2015-01-24,4.5155797101449275,24306.475724637683,43874.74520787262,1395.75,44.765036231884054
24,2015-01-25,4.565579710144927,25318.434057971015,46369.700763428176,1465.2916666666667,46.531702898550726
25,2015-01-26,4.573913043478261,26330.32572463768,48418.33605754582,1540.5833333333333,48.23586956521739
26,2015-01-27,4.815579710144927,27342.79239130435,50019.657486117256,1619.9583333333333,50.23586956521739
27,2015-01-28,4.873913043478261,28354.829891304347,52552.40034326011,1695.7083333333333,52.09420289855072
28,2015-01-29,5.107246376811594,29365.221557971014,54772.92208239054,1769.75,54.19836956521739
29,2015-01-30,5.615579710144927,30377.225724637683,56222.60958239054,1853.625,56.08170289855072
30,2015-01-31,7.290579710144927,31393.329891304347,56222.60958239054,1941.875,57.41086956521739
31,2015-02-01,8.857246376811595,32408.954891304347,56357.434582390546,2030.125,59.077536231884054
32,2015-02-02,10.107246376811595,33423.69239130435,56937.184582390546,2122.0,60.44003623188406
33,2015-02-03,10.107246376811595,34435.97155797102,56943.284582390545,2200.3333333333335,62.29003623188406
34,2015-02-04,10.232246376811595,35445.42572463768,57174.809582390546,2284.5416666666665,63.66920289855072
35,2015-02-05,10.373913043478261,36451.15489130435,57174.809582390546,2372.2083333333335,64.90253623188406
36,2015-02-06,11.265579710144927,37456.91739130435,57174.809582390546,2457.0416666666665,66.5858695652174
37,2015-02-07,11.282246376811594,38464.87155797101,57175.50958239054,2541.3333333333335,67.80670289855072
38,2015-02-08,11.373913043478261,39475.80905797101,57421.909582390545,2625.3333333333335,69.16503623188406
39,2015-02-09,11.515579710144927,40487.17572463768,57541.83458239055,2708.4583333333335,70.6608695652174
40,2015-02-10,11.682246376811595,41498.89655797101,57829.70124905721,2791.6666666666665,72.31086956521739
41,2015-02-11,11.682246376811595,42511.63822463768,58339.062360168326,2867.0,74.10253623188406
42,2015-02-12,11.765579710144927,43524.759057971016,58339.520693501654,2942.25,76.29003623188406
43,2015-02-13,11.857246376811593,44538.29239130435,58370.13245820754,3018.4583333333335,78.35670289855072
44,2015-02-14,11.857246376811593,45551.51739130435,58396.91579154087,3094.2916666666665,80.05670289855072
45,2015-02-15,12.615579710144928,46563.617391304346,58920.722041540874,3177.0416666666665,81.51920289855072
46,2015-02-16,12.69891304347826,47576.52155797101,59825.92204154087,3263.0416666666665,82.7858695652174
47,2015-02-17,15.023913043478261,48588.509057971016,60258.4447688136,3351.3333333333335,84.06503623188405
48,2015-02-18,15.532246376811594,49598.38822463768,60379.65191167074,3442.125,85.39420289855072
49,2015-02-19,15.532246376811594,50607.37989130435,60380.161911670744,3515.0,87.04836956521739
50,2015-02-20,15.532246376811594,51618.66739130435,60389.045245004076,3584.0416666666665,88.88170289855073
51,2015-02-21,15.532246376811594,52633.96322463768,60408.270245004074,3659.625,90.93586956521739
52,2015-02-22,15.532246376811594,53650.53822463768,60412.670245004076,3734.9166666666665,92.79836956521739
53,2015-02-23,15.632246376811594,54666.34655797102,60446.7173038276,3811.7083333333335,94.72753623188406
54,2015-02-24,15.632246376811594,55680.688224637684,60457.89098803813,3885.5416666666665,96.78586956521738
55,2015-02-25,15.690579710144927,56695.72155797102,60498.34098803813,3964.375,98.74836956521739
56,2015-02-26,15.69891304347826,57708.117391304346,60590.44098803813,4040.5416666666665,100.7733695652174
57,2015-02-27,15.69891304347826,58717.27155797101,60590.44098803813,4116.541666666667,103.01503623188405
58,2015-02-28,16.940579710144927,59728.929891304346,60918.34098803813,4195.833333333333,105.26086956521739
59,2015-03-01,17.54057971014493,60746.26322463768,60988.8076547048,4274.291666666667,107.88170289855073
60,2015-03-02,17.54057971014493,61763.688224637684,60988.8076547048,4347.625,110.49836956521739
61,2015-03-03,17.54057971014493,62779.07572463768,60989.389472886614,4424.75,112.65670289855072
62,2015-03-04,17.54057971014493,63793.65489130435,60992.039472886616,4501.416666666667,114.74003623188406
63,2015-03-05,17.54057971014493,64806.42572463768,61008.969472886616,4578.166666666667,116.80670289855072
64,2015-03-06,18.232246376811595,65817.66739130435,61877.15518717233,4658.083333333333,118.79836956521739
65,2015-03-07,20.157246376811592,66829.60072463768,61888.75518717233,4747.833333333333,119.93170289855072
66,2015-03-08,22.44891304347826,67841.37572463768,62180.08018717233,4836.833333333333,121.2108695652174
67,2015-03-09,22.77391304347826,68851.80072463768,64292.934353838995,4924.583333333333,122.50670289855073
68,2015-03-10,22.890579710144927,69860.52989130435,66549.53852050567,5011.333333333333,123.61920289855072
69,2015-03-11,22.89891304347826,70868.38822463769,68561.29306596021,5093.291666666667,125.02753623188406
70,2015-03-12,23.140579710144927,71878.26739130435,69361.4555659602,5179.208333333333,126.64003623188405
71,2015-03-13,23.17391304347826,72889.45489130435,70976.55973262688,5262.041666666667,128.4983695652174
72,2015-03-14,23.315579710144927,73901.85905797101,72648.13592310307,5345.333333333333,130.26920289855073
73,2015-03-15,23.315579710144927,74914.48405797101,74974.5067564364,5429.0,131.6483695652174
74,2015-03-16,23.42391304347826,75926.41322463768,76575.07342310307,5510.5,133.46503623188406
75,2015-03-17,23.440579710144927,76940.45489130435,77701.88592310307,5594.166666666667,134.84003623188406
76,2015-03-18,24.032246376811592,77955.74655797101,78877.66592310306,5679.291666666667,135.97336956521738
77,2015-03-19,24.157246376811592,78971.07155797101,81195.23258976973,5766.208333333333,137.15670289855072
78,2015-03-20,25.41557971014493,79984.14655797102,82974.01494271091,5851.833333333333,138.34420289855072
79,2015-03-21,25.432246376811595,80994.22989130435,85672.21494271091,5937.041666666667,139.4192028985507
80,2015-03-22,26.107246376811595,82004.69655797102,88222.86077604424,6025.458333333333,140.3817028985507
81,2015-03-23,26.257246376811594,83020.91322463768,90946.82744271091,6111.875,141.45670289855073
82,2015-03-24,26.49891304347826,84039.94239130434,93723.1774427109,6197.625,143.19003623188405
83,2015-03-25,26.49891304347826,85058.57989130435,96239.8824427109,6277.041666666667,144.9858695652174
84,2015-03-26,26.49891304347826,86072.39239130435,97354.59244271091,6356.875,146.86503623188406
85,2015-03-27,26.49891304347826,87087.04655797101,98114.5272253196,6438.875,148.35253623188405
86,2015-03-28,26.723913043478262,88104.01322463769,99390.8576601022,6524.458333333333,149.4817028985507
87,2015-03-29,27.94891304347826,89118.71322463769,99391.33266010221,6614.333333333333,150.67753623188406
88,2015-03-30,28.74891304347826,90131.40905797102,99391.77932676888,6702.5,152.1108695652174
89,2015-03-31,28.757246376811594,91142.47155797102,99446.14599343555,6787.916666666667,153.28586956521738
90,2015-04-01,28.757246376811594,92156.58405797102,100361.80599343554,6871.625,154.71920289855072
91,2015-04-02,28.99891304347826,93173.35905797101,101601.8726601022,6954.125,156.32336956521738
92,2015-04-03,29.107246376811595,94189.32989130435,101905.51641010221,7033.958333333333,157.88586956521738
93,2015-04-04,29.107246376811595,95202.15489130435,102963.29736248316,7111.0,159.82753623188407
94,2015-04-05,29.32391304347826,96211.04239130435,104904.88625137205,7193.208333333333,161.45253623188407
95,2015-04-06,29.382246376811594,97217.38822463769,106147.82261500842,7273.208333333333,163.76503623188407
96,2015-04-07,29.52391304347826,98232.15489130435,107822.96472027157,7353.125,166.05253623188406
97,2015-04-08,29.582246376811593,99250.44655797102,108870.25138693824,7429.416666666667,167.9858695652174
98,2015-04-09,29.582246376811593,100268.78405797102,109336.02638693825,7508.041666666667,169.82753623188407
99,2015-04-10,29.640579710144927,101288.05072463768,109896.4130536049,7590.083333333333,171.28170289855072
100,2015-04-11,29.640579710144927,102305.79655797101,110320.7255536049,7670.25,172.9983695652174
101,2015-04-12,29.640579710144927,103321.58822463769,110620.7380536049,7749.708333333333,174.7317028985507
102,2015-04-13,29.640579710144927,104338.97989130435,110957.21583138268,7831.291666666667,176.20253623188407
103,2015-04-14,29.640579710144927,105355.63405797102,111185.36128592814,7909.291666666667,177.7942028985507
104,2015-04-15,29.640579710144927,106369.36739130435,111523.05295259481,7991.208333333333,179.26920289855073
105,2015-04-16,30.34891304347826,107382.29239130435,111974.42795259481,8076.25,180.76503623188407
106,2015-04-17,30.34891304347826,108398.47572463768,114214.42795259481,8160.083333333333,181.96920289855072
107,2015-04-18,30.357246376811595,109411.88405797102,116082.13295259481,8239.833333333334,183.6233695652174
108,2015-04-19,30.357246376811595,110424.52989130435,118324.39128592814,8325.0,184.88586956521738
109,2015-04-20,30.390579710144927,111436.56739130434,121051.95282438968,8408.5,186.13586956521738
110,2015-04-21,30.515579710144927,112447.13405797102,122237.29726883413,8495.25,187.70670289855073
111,2015-04-22,31.865579710144928,113462.02155797102,124097.05726883412,8587.458333333334,188.76086956521738
112,2015-04-23,31.990579710144928,114478.85905797101,126582.36351883413,8672.958333333334,190.11920289855072
113,2015-04-24,32.073913043478264,115494.62572463768,128445.02780454842,8759.125,191.37753623188405
114,2015-04-25,32.073913043478264,116511.22989130435,132033.56416818476,8835.666666666666,193.82753623188407
115,2015-04-26,32.073913043478264,117529.78405797102,135395.39144091203,8913.625,195.3358695652174
116,2015-04-27,32.14057971014493,118547.80489130435,137628.98644091203,8996.958333333334,196.80253623188406
117,2015-04-28,32.21557971014493,119563.25905797102,140568.90144091204,9080.625,198.1942028985507
118,2015-04-29,32.21557971014493,120579.49239130435,143207.6287136393,9163.75,199.67753623188406
119,2015-04-30,32.32391304347826,121597.75905797102,145418.26371363932,9250.166666666666,200.90253623188406
120,2015-05-01,32.382246376811594,122615.32155797102,147970.33644091204,9331.25,202.10253623188405
121,2015-05-02,32.565579710144924,123630.92155797101,150076.2031075787,9413.875,203.50253623188405
122,2015-05-03,32.565579710144924,124644.44655797102,152904.40786948346,9492.708333333334,205.0233695652174
123,2015-05-04,32.565579710144924,125655.71322463769,155798.0001771758,9574.916666666666,206.61920289855072
124,2015-05-05,33.37391304347826,126673.36322463768,156779.92517717578,9666.125,208.24003623188406
125,2015-05-06,33.46557971014493,127691.91322463768,159163.70642717578,9751.916666666666,209.7108695652174
