,data,precipitacao,pressao_atmosferica,radiacao,umidade_relativa,velocidade_media_vento
0,2017-08-25,0.0,1021.13,1543.3,-5805.958333333333,1.7399999999999998
1,2017-08-26,0.0,2041.7591666666667,3319.008333333333,-5727.041666666666,2.769166666666666
2,2017-08-27,0.0,3059.9133333333334,5038.4,-5645.625,3.623333333333333
3,2017-08-28,0.0,4078.3050000000003,6774.9,-5563.166666666666,4.569166666666666
4,2017-08-29,0.0,5096.788333333334,8370.816666666668,-5482.875,5.5775
5,2017-08-30,0.0,6112.047424242424,10380.786666666667,-6242.541666666666,6.550227272727272
6,2017-08-31,0.0181818181818181,7132.906515151515,10885.786666666667,-6998.458333333333,7.736590909090909
7,2017-09-01,0.2272727272727271,8159.41106060606,11800.426666666666,-7757.708333333333,8.691136363636364
8,2017-09-02,0.2272727272727271,9186.30196969697,13630.866666666667,-8522.166666666666,9.66840909090909
9,2017-09-03,0.2272727272727271,10210.80196969697,15439.826666666668,-9285.708333333332,11.38659090909091
10,2017-09-04,0.2272727272727271,11231.519361001318,17431.490303030303,-9632.333333333332,13.151808300395256
11,2017-09-05,0.2272727272727271,12249.769361001318,19330.765303030304,-9561.833333333332,14.376808300395258
12,2017-09-06,0.2272727272727271,13269.660270092227,21090.145303030302,-10325.416666666666,15.944990118577074
13,2017-09-07,0.2272727272727271,14290.655508187465,22490.656414141413,-11504.541666666666,16.64975202333898
14,2017-09-08,0.2272727272727271,15308.5191445511,24278.136414141416,-12265.916666666666,17.6179338415208
15,2017-09-09,0.2272727272727271,16325.496417278375,25987.986414141415,-13024.25,18.54975202333898
16,2017-09-10,0.2272727272727271,17342.63554771316,27881.55914141414,-13359.791666666666,19.749752023338978
17,2017-09-11,0.2272727272727271,18359.781002258613,29871.54914141414,-14123.5,20.986115659702616
18,2017-09-12,0.2272727272727271,19377.876835591946,31771.649141414142,-14052.5,22.694448993035948
19,2017-09-13,0.2272727272727271,20397.635926501036,33797.74914141414,-14814.0,23.912630811217767
