,data,precipitacao,pressao_atmosferica,radiacao,umidade_relativa,velocidade_media_vento
0,2015-09-02,,,,-9999.0,
1,2015-09-03,0.0,1014.3636363636364,1150.3111111111111,-15381.625,1.6
2,2015-09-04,0.0666666666666666,2027.2678030303032,2372.1929292929294,-15299.041666666666,3.6500000000000004
3,2015-09-05,0.4999999999999999,3045.0386363636367,2672.4179292929293,-15211.416666666666,4.7875000000000005
4,2015-09-06,0.5499999999999998,4060.43446969697,3263.2929292929293,-15130.0,7.6375
5,2015-09-07,0.6416666666666664,5070.38446969697,3600.034595959596,-15047.583333333334,9.283333333333333
6,2015-09-08,0.6416666666666664,6078.326136363637,4202.476262626263,-14973.375,11.458333333333334
7,2015-09-09,0.8166666666666664,7088.092803030303,4879.9679292929295,-14904.541666666666,15.291666666666668
8,2015-09-10,0.8333333333333329,8101.001136363637,5390.909595959596,-14824.458333333334,17.666666666666668
9,2015-09-11,1.1666666666666663,9109.93446969697,5773.178826728827,-14749.333333333334,20.254166666666666
10,2015-09-12,2.3166666666666664,10125.255303030302,6188.503826728827,-14658.583333333334,21.679166666666667
11,2015-09-13,5.241666666666666,11145.092803030304,6384.762160062161,-14565.208333333334,22.91916666666667
12,2015-09-14,5.308333333333333,12166.088636363636,6726.355017205017,-14478.666666666666,24.41916666666667
13,2015-09-15,5.341666666666666,13185.055303030304,7329.685786435787,-14391.875,27.123333333333335
14,2015-09-16,5.341666666666666,14197.738636363636,9073.139632589633,-14320.708333333334,29.5275
15,2015-09-17,5.341666666666666,15208.24696969697,10873.455017205019,-14249.791666666666,31.065
16,2015-09-18,5.341666666666666,16219.188636363637,12689.870401820403,-14178.208333333334,32.406666666666666
17,2015-09-19,5.341666666666666,17232.080303030303,14445.708863358865,-14095.708333333334,33.685833333333335
18,2015-09-20,5.341666666666666,18245.480303030305,15782.101171051172,-14011.833333333334,35.08583333333333
19,2015-09-21,5.341666666666666,19259.501136363637,17582.616555666555,-13930.25,36.623333333333335
20,2015-09-22,5.341666666666666,20271.576136363637,19184.647324897327,-13842.791666666666,37.785833333333336
21,2015-09-23,5.341666666666666,21282.655303030304,20663.016555666556,-13759.875,39.223333333333336
22,2015-09-24,5.341666666666666,22290.57196969697,22434.278094128094,-13690.25,40.56916666666667
23,2015-09-25,5.341666666666666,23298.592803030304,24099.678094128096,-13619.666666666666,42.75666666666667
24,2015-09-26,5.341666666666666,24312.763636363637,25219.555017205017,-13544.958333333334,44.681666666666665
25,2015-09-27,5.341666666666666,25324.0553030303,26864.516555666556,-13472.458333333334,47.3275
26,2015-09-28,5.341666666666666,26332.688636363637,27719.56270951271,-13400.875,49.63583333333333
27,2015-09-29,5.341666666666666,27344.155303030304,28334.808863358863,-13316.916666666666,51.00666666666667
28,2015-09-30,5.341666666666666,28354.83446969697,29262.639632589635,-13231.416666666666,52.16916666666667
29,2015-10-01,5.35,29368.438636363637,30625.16270951271,-13147.958333333334,53.660833333333336
30,2015-10-02,5.35,30380.363636363636,32224.33194028194,-13071.875,55.815
31,2015-10-03,5.35,31390.40946969697,33066.06270951271,-12995.916666666666,57.973333333333336
32,2015-10-04,6.091666666666666,32403.851136363635,33335.885786435785,-12905.291666666666,59.115
33,2015-10-05,6.591666666666666,33420.717803030304,33878.58578643579,-12817.0,60.26916666666666
34,2015-10-06,6.591666666666666,34439.52196969697,34818.01655566655,-12740.958333333334,62.4275
35,2015-10-07,6.591666666666666,35455.5678030303,36869.78578643579,-12676.666666666666,66.315
36,2015-10-08,6.591666666666666,36468.538636363635,38875.385786435785,-12613.541666666666,69.94416666666666
37,2015-10-09,6.591666666666666,37479.805303030305,40432.73194028194,-12541.958333333334,72.61916666666667
38,2015-10-10,6.591666666666666,38492.1928030303,42268.024247974245,-12471.291666666666,75.29416666666667
39,2015-10-11,6.591666666666666,39504.35946969697,44229.178094128096,-12398.125,76.90666666666667
40,2015-10-12,6.591666666666666,40517.6303030303,46087.00886335886,-12322.333333333334,78.57333333333334
41,2015-10-13,6.591666666666666,41532.3178030303,47567.37809412809,-12243.625,80.14
42,2015-10-14,6.591666666666666,42545.64280303031,49427.32424797425,-12164.291666666666,81.65666666666667
43,2015-10-15,6.591666666666666,43556.14280303031,51401.13194028194,-12095.375,83.1025
44,2015-10-16,6.591666666666666,44566.242803030305,53297.778094128094,-12028.875,84.86083333333333
45,2015-10-17,6.591666666666666,45580.92613636364,54933.59347874348,-11951.0,87.50666666666666
46,2015-10-18,6.9833333333333325,46600.826136363634,55428.924247974246,-11861.625,88.96916666666667
47,2015-10-19,7.1,47619.86363636364,55850.208863358865,-11778.125,91.0275
48,2015-10-20,7.1,48633.155303030304,57847.03194028194,-11710.291666666666,94.615
49,2015-10-21,7.1,49642.52196969697,58918.18578643579,-11633.083333333334,96.36916666666667
50,2015-10-22,7.249999999999999,50652.467803030304,59986.601171051174,-11557.291666666666,98.55666666666667
51,2015-10-23,7.266666666666666,51663.83863636364,61406.63194028194,-11480.916666666666,100.79416666666667
52,2015-10-24,7.266666666666666,52680.42196969697,62485.024247974245,-11402.0,102.67333333333333
53,2015-10-25,7.333333333333332,53698.87196969697,62918.33194028194,-11320.541666666666,104.11916666666667
54,2015-10-26,7.333333333333332,54715.31544795784,63616.58578643579,-11663.916666666666,107.23655797101449
55,2015-10-27,7.333333333333332,55727.548781291174,64690.83963258963,-11589.166666666666,109.47822463768117
56,2015-10-28,7.333333333333332,56738.75711462451,65547.24732489733,-11507.458333333334,111.85739130434783
57,2015-10-29,7.408333333333332,57753.423781291174,66598.20117105117,-11425.708333333334,114.04072463768117
58,2015-10-30,7.866666666666666,58769.51961462451,67510.16545676546,-11342.833333333334,117.29489130434783
59,2015-10-31,7.866666666666666,59780.71544795784,69709.27314907315,-11272.333333333334,121.69489130434783
60,2015-11-01,7.866666666666666,60791.557114624506,71439.80391830392,-11193.791666666666,123.65322463768116
61,2015-11-02,7.908333333333332,61803.41128129117,72679.55007215007,-11108.708333333334,124.9365579710145
62,2015-11-03,7.916666666666666,62813.52794795784,73504.28084138084,-11028.5,126.35739130434783
63,2015-11-04,7.916666666666666,63824.43628129117,74413.88853368853,-10942.791666666666,127.50322463768116
64,2015-11-05,8.249999999999998,64834.87794795784,75034.87314907314,-10853.75,128.33239130434782
65,2015-11-06,8.825,65847.04044795784,75825.95776445777,-10766.708333333334,129.87822463768117
66,2015-11-07,9.783333333333333,66861.2446146245,76071.1910977911,-10672.583333333334,131.61989130434782
67,2015-11-08,10.416666666666666,67875.30294795784,76888.0510977911,-10583.625,132.86572463768115
68,2015-11-09,10.458333333333332,68889.46961462451,77511.49725163725,-10494.166666666666,133.95322463768116
69,2015-11-10,10.458333333333332,69904.0821146245,79029.63571317571,-10410.833333333334,135.80739130434782
70,2015-11-11,10.458333333333332,70915.15711462451,81081.44340548341,-10335.0,137.59489130434784
71,2015-11-12,10.458333333333332,71924.5696146245,82406.01483405483,-10253.416666666666,139.93239130434782
72,2015-11-13,10.458333333333332,72934.15294795785,83552.92197691198,-10171.333333333334,141.70739130434782
73,2015-11-14,10.458333333333332,73940.82378129117,85250.94505383505,-10094.291666666666,143.39072463768116
74,2015-11-15,10.466666666666665,74949.67378129117,86712.91428460428,-10016.041666666666,145.16989130434783
75,2015-11-16,10.591666666666665,75960.37794795784,87075.67857031857,-9926.333333333334,146.21155797101449
76,2015-11-17,10.608333333333333,76969.97378129118,87314.18571317571,-9834.875,148.22822463768117
77,2015-11-18,11.399999999999999,77975.43628129117,88419.86696317571,-9752.041666666666,150.79489130434783
78,2015-11-19,11.408333333333331,78978.5071146245,90348.57410603286,-9671.958333333334,151.99905797101448
79,2015-11-20,11.408333333333331,79980.5821146245,91379.95982031857,-9598.208333333334,154.01989130434782
80,2015-11-21,12.966666666666665,80990.79461462451,91629.79553460429,-9507.75,155.24163043478262
81,2015-11-22,12.974999999999998,82003.96128129118,92625.66696317571,-9424.291666666666,156.79579710144927
82,2015-11-23,13.091666666666665,83012.16961462451,93036.69773240648,-9338.25,158.7541304347826
83,2015-11-24,13.308333333333332,84017.42794795784,94089.96916097791,-9253.083333333334,160.75829710144927
84,2015-11-25,13.308333333333332,85025.22794795784,95057.15377636252,-9167.0,161.94579710144927
85,2015-11-26,13.366666666666665,86037.81544795784,95762.63377636252,-9082.041666666666,163.63746376811594
86,2015-11-27,13.491666666666665,87051.42378129117,96296.32663350538,-8999.5,165.62079710144928
87,2015-11-28,13.491666666666665,88060.3321146245,98324.14806207681,-8930.083333333334,168.32496376811594
88,2015-11-29,14.091666666666665,89069.57378129117,99763.83472874347,-8846.0,170.03329710144928
89,2015-11-30,14.724999999999998,90083.04044795784,100187.47847874348,-8754.625,171.67496376811593
90,2015-12-01,14.874999999999998,91099.95294795783,100820.66514541015,-8667.375,172.94496376811594
91,2015-12-02,15.074999999999998,92113.91961462451,101207.71181207681,-8574.958333333334,174.16579710144927
92,2015-12-03,15.458333333333332,93126.6196146245,101445.57181207681,-8481.25,175.6616304347826
93,2015-12-04,15.574999999999998,94138.15294795785,101758.37769442976,-8388.833333333334,177.6157971014493
94,2015-12-05,15.583333333333332,95145.45294795783,103386.44019442976,-8306.041666666666,179.54079710144927
95,2015-12-06,15.691666666666665,96153.35294795784,104630.31876585832,-8221.083333333334,180.96163043478262
96,2015-12-07,17.016666666666666,97163.80294795784,105125.12543252499,-8131.625,182.2866304347826
97,2015-12-08,17.10833333333333,98178.20294795783,105450.54418252499,-8039.333333333333,183.39496376811593
98,2015-12-09,17.10833333333333,99191.29878129117,106521.00734041973,-7960.083333333333,186.12829710144928
99,2015-12-10,17.10833333333333,100198.34044795785,107765.11448327688,-7885.791666666667,187.77829710144928
100,2015-12-11,17.10833333333333,101209.1821146245,109422.70734041973,-7810.375,189.6116304347826
101,2015-12-12,17.10833333333333,102220.38628129117,111311.40067375306,-7732.75,191.32467391304348
102,2015-12-13,17.174999999999997,103230.37794795784,113183.58638803878,-7660.666666666667,193.64967391304347
103,2015-12-14,17.208333333333332,104240.29878129117,115179.30067375307,-7591.333333333333,195.7871739130435
104,2015-12-15,17.208333333333332,105249.47378129118,117181.51495946734,-7519.458333333333,197.23300724637681
105,2015-12-16,17.208333333333332,106260.99878129117,118832.12924518163,-7440.125,199.81634057971016
106,2015-12-17,17.208333333333332,107273.89044795783,120723.80067375307,-7360.25,201.34550724637683
107,2015-12-18,17.208333333333332,108283.65711462451,122784.20067375306,-7289.208333333333,203.01634057971015
108,2015-12-19,17.208333333333332,109293.01128129117,124896.03638803877,-7218.625,204.50800724637682
109,2015-12-20,17.208333333333332,110305.69044795784,126596.39353089592,-7142.958333333333,206.29967391304348
110,2015-12-21,17.208333333333332,111318.04044795784,128527.6578166102,-7068.0,208.53300724637683
111,2015-12-22,17.208333333333332,112330.23211462451,130626.2721023245,-7003.625,212.12467391304347
112,2015-12-23,17.208333333333332,113342.26128129117,132724.00067375306,-6941.416666666667,215.82050724637682
113,2015-12-24,17.208333333333332,114353.67378129117,134788.27924518162,-6880.25,219.2705072463768
114,2015-12-25,17.208333333333332,115364.44044795784,136932.10067375307,-6813.875,220.6455072463768
115,2015-12-26,17.208333333333332,116373.80294795784,138994.06495946736,-6750.083333333333,223.53300724637683
116,2015-12-27,17.208333333333332,117381.2696146245,141061.7363880388,-6689.75,225.89134057971015
117,2015-12-28,17.208333333333332,118389.85711462451,142659.02924518162,-6624.666666666667,227.61217391304348
118,2015-12-29,17.208333333333332,119401.96961462451,143658.3578166102,-6553.25,228.56634057971016
119,2015-12-30,18.791666666666664,120413.89878129118,145555.0578166102,-6482.041666666667,230.09550724637683
120,2015-12-31,19.45,121422.55294795784,147323.4640666102,-6417.166666666667,231.9121739130435
121,2016-01-01,20.25,122429.19044795784,149333.8926380388,-6341.791666666667,233.70384057971015
122,2016-01-02,20.30833333333333,123438.56544795784,149732.98549518164,-6252.083333333333,234.79967391304348
123,2016-01-03,20.65833333333333,124449.38628129117,150267.06549518163,-6165.416666666667,236.47050724637683
124,2016-01-04,20.866666666666664,125463.27794795785,151021.00120946736,-6083.166666666667,238.17884057971014
125,2016-01-05,20.874999999999996,126478.38628129117,152283.48692375305,-6007.041666666667,241.17050724637681
126,2016-01-06,20.874999999999996,127491.4946146245,154491.57978089593,-5938.875,244.31634057971016
127,2016-01-07,20.874999999999996,128500.79044795784,156668.51549518164,-5867.666666666667,246.77884057971013
128,2016-01-08,20.874999999999996,129508.86128129117,158793.45120946734,-5794.833333333333,248.7246739130435
129,2016-01-09,20.874999999999996,130518.40711462451,160663.52978089591,-5719.791666666667,250.51634057971015
130,2016-01-10,20.874999999999996,131528.36128129117,162602.40835232448,4354.375,252.45384057971015
131,2016-01-11,20.874999999999996,131522.68097826088,162454.8329554991,9814.083333333334,252.24134057971014
132,2016-01-12,21.03333333333333,131516.04764492754,162287.3225658887,9810.041666666666,252.31634057971013
133,2016-01-13,20.599999999999998,131503.84764492753,163400.28328017442,9805.166666666666,252.4746739130435
134,2016-01-14,20.691666666666663,131495.0018115942,163956.936851603,9811.0,250.67467391304348
135,2016-01-15,21.333333333333332,131490.5643115942,164713.1380420792,9816.833333333334,250.65384057971013
136,2016-01-16,23.474999999999998,131489.7768115942,164669.17494684109,9830.125,250.2223188405797
137,2016-01-17,23.374999999999996,131491.08514492755,165060.96899446013,9842.666666666666,247.92648550724638
138,2016-01-18,23.4,131489.78097826088,165134.4495500157,9849.333333333334,246.6014855072464
139,2016-01-19,24.266666666666662,131491.6518115942,165145.16603353215,9865.583333333334,245.05148550724638
140,2016-01-20,23.45,131486.08514492752,165235.1880923557,9866.5,245.00565217391303
141,2016-01-21,22.38333333333333,131475.99347826088,165865.1697590224,9860.75,246.35315217391306
142,2016-01-22,23.049999999999997,131466.2393115942,166444.64118759378,9859.625,246.97815217391306
143,2016-01-23,23.025,131459.5268115942,167880.5747040773,9852.125,246.4948188405797
144,2016-01-24,23.025,131458.9268115942,167968.25657220918,9863.833333333334,245.60315217391303
145,2016-01-25,23.025,131459.16847826086,167623.26261616524,9876.541666666666,245.58648550724638
146,2016-01-26,23.025,131455.86431159423,167908.73294583557,9884.291666666668,245.41565217391303
147,2016-01-27,23.025,131450.55597826088,168157.61591286852,9882.0,245.64898550724638
148,2016-01-28,23.525,131448.9143115942,167617.81646231905,9887.416666666668,245.35315217391303
149,2016-01-29,23.541666666666664,131447.62264492756,167227.9610777037,9886.0,245.50315217391304
150,2016-01-30,23.541666666666664,131447.85597826086,167642.36602275862,9866.583333333332,246.39481884057972
151,2016-01-31,23.541666666666664,131449.04347826086,168288.0610777037,9850.583333333334,246.99898550724637
152,2016-02-01,23.541666666666664,131453.25597826086,168640.2781106707,9854.791666666666,247.16981884057972
153,2016-02-02,23.541666666666664,131456.8394927536,169078.992396385,9445.25,246.53014492753624
154,2016-02-03,23.541666666666664,130442.66865942028,167959.11547330808,-628.4583333333321,244.60514492753623
