,data,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento
0,2015-01-01,0.7090909090909091,831.6363636363636,831.9545454545455,831.4545454545455,523.9499999999999,17.418181818181818,11.563636363636364,18.0,16.463636363636365,12.590909090909092,10.572727272727272,-5380.541666666667,-5387.125,-5384.333333333333,-5270.083333333333,12.909090909090908,6.972727272727273
1,2015-01-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2,2015-01-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
3,2015-01-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
4,2015-01-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
5,2015-01-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
6,2015-01-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
7,2015-01-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
8,2015-01-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
9,2015-01-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
10,2015-01-11,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
11,2015-01-12,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
12,2015-01-13,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
13,2015-01-14,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
14,2015-01-15,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
15,2015-01-16,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
16,2015-01-17,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
17,2015-01-18,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
18,2015-01-19,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
19,2015-01-20,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
20,2015-01-21,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
21,2015-01-22,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
22,2015-01-23,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
23,2015-01-24,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
24,2015-01-25,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
25,2015-01-26,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
26,2015-01-27,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
27,2015-01-28,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
28,2015-01-29,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
29,2015-01-30,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
30,2015-01-31,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
31,2015-02-01,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
32,2015-02-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
33,2015-02-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
34,2015-02-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
35,2015-02-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
36,2015-02-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
37,2015-02-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
38,2015-02-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
39,2015-02-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
40,2015-02-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
41,2015-02-11,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
42,2015-02-12,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
43,2015-02-13,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
44,2015-02-14,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
45,2015-02-15,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
46,2015-02-16,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
47,2015-02-17,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
48,2015-02-18,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
49,2015-02-19,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
50,2015-02-20,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
51,2015-02-21,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
52,2015-02-22,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
53,2015-02-23,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
54,2015-02-24,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
55,2015-02-25,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
56,2015-02-26,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
57,2015-02-27,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
58,2015-02-28,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
59,2015-03-01,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
60,2015-03-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
61,2015-03-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
62,2015-03-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
63,2015-03-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
64,2015-03-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
65,2015-03-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
66,2015-03-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
67,2015-03-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
68,2015-03-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
