,data,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento
0,2016-06-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
1,2016-06-04,,,,,,,,,,,,-19998.0,-19998.0,-19998.0,-19998.0,,
2,2016-06-05,,,,,,,,,,,,-29997.0,-29997.0,-29997.0,-29997.0,,
3,2016-06-06,0.0,952.4,952.45,951.45,,22.0,21.15,23.1,22.0,21.9,21.05,-39154.791666666664,-39155.083333333336,-39154.833333333336,-39152.666666666664,5.1,1.95
4,2016-06-07,1.4260869565217391,1908.208695652174,1908.4804347826089,1906.8065217391304,301.73,39.756521739130434,37.66304347826087,41.31739130434782,39.6,38.96521739130435,37.35,-39480.791666666664,-39485.125,-39482.875,-39397.0,11.121739130434783,3.9717391304347824
5,2016-06-08,1.5478260869565217,2868.169565217391,2868.584782608696,2866.45,724.5209090909091,55.21304347826087,51.8195652173913,56.995652173913044,54.87391304347826,53.52608695652174,51.26304347826087,-39807.333333333336,-39815.333333333336,-39811.375,-39643.625,15.513043478260869,5.7065217391304355
6,2016-06-09,1.5478260869565217,3830.269565217391,3830.8456521739135,3828.245652173913,1814.8754545454544,70.2304347826087,64.11956521739131,72.48695652173913,69.44347826086957,66.41029748283752,62.952517162471395,-41400.833333333336,-41414.291666666664,-41827.541666666664,-39885.666666666664,19.269565217391303,7.236956521739131
7,2016-06-10,1.5478260869565217,4791.786231884058,4792.666485507247,4789.608152173913,2451.292121212121,84.30960144927536,76.27956521739131,86.88278985507246,83.1643115942029,78.31029748283753,74.58585049580473,-50138.291666666664,-50151.958333333336,-49724.41666666667,-39751.166666666664,22.16123188405797,8.357789855072465
8,2016-06-11,1.5478260869565217,5754.332065217391,5755.358152173913,5751.883152173913,3724.7337878787876,98.33876811594203,84.4895652173913,101.53278985507247,96.63514492753623,87.37345537757437,82.2963768115942,-52163.666666666664,-52183.291666666664,-51333.75,-39555.458333333336,26.940398550724638,10.44945652173913
9,2016-06-12,1.5478260869565217,6719.850247035573,6721.044515810277,6717.110424901186,4741.6504545454545,109.98876811594202,93.0804743083004,113.91006258234519,107.7669631093544,96.5007281048471,90.41001317523057,-52918.083333333336,-52943.166666666664,-52090.708333333336,-40276.958333333336,30.167671277997364,11.726729249011857
10,2016-06-13,1.5478260869565217,7688.963290513834,7690.29668972332,7685.966946640316,6087.532272727272,122.08007246376812,100.89351778656126,126.77527997364955,119.16261528326746,105.03551071354275,97.65783926218708,-53256.708333333336,-53288.5,-52432.875,-40524.208333333336,33.90680171277997,13.313685770750988
11,2016-06-14,1.5478260869565217,8658.158942687747,8659.7706027668,8654.993033596838,7291.795909090909,134.32355072463767,109.88047430830039,139.77527997364953,130.70609354413702,114.52246723528188,106.09262187088274,-53591.75,-53629.125,-52770.375,-40828.166666666664,36.928540843214755,14.518033596837945
12,2016-06-15,1.5478260869565217,9624.850609354413,9626.7456027668,9621.526366930171,8639.237575757576,147.79021739130434,119.68880764163373,154.06277997364955,143.41442687747036,125.00996723528188,115.3717885375494,-53507.416666666664,-53550.875,-52689.041666666664,-40654.208333333336,39.74937417654809,15.588866930171278
13,2016-06-16,1.5478260869565217,10589.388109354413,10591.528936100132,10585.91386693017,9947.987575757576,162.506884057971,130.62630764163373,169.57527997364954,157.40192687747034,136.63913390194855,125.79678853754942,-53423.375,-53472.833333333336,-52608.125,-40500.541666666664,42.54520750988142,16.788866930171277
14,2016-06-17,1.5478260869565217,11551.36727602108,11553.787269433466,11547.697200263505,11252.129242424242,178.5485507246377,143.1679743083004,186.45027997364954,172.65192687747034,149.8058005686152,137.71345520421607,-53338.291666666664,-53393.625,-52525.666666666664,-40342.5,44.98270750988142,17.74720026350461
15,2016-06-18,1.5478260869565217,12513.413109354413,12516.012269433466,12509.472200263504,12474.34590909091,194.4860507246377,156.4304743083004,203.10027997364955,187.90609354413704,163.6308005686152,150.45512187088275,-53250.416666666664,-53310.541666666664,-52440.208333333336,-40166.625,48.47020750988142,19.12220026350461
16,2016-06-19,1.5478260869565217,13476.738109354414,13479.587269433465,13472.588866930171,13281.387575757575,211.68188405797102,171.0054743083004,220.74611330698286,204.7227602108037,178.5933005686152,164.78845520421606,-53162.583333333336,-53227.166666666664,-52354.541666666664,-40051.083333333336,51.49937417654809,20.368033596837943
17,2016-06-20,1.5478260869565217,14439.975609354413,14442.995602766798,14435.593033596837,13552.979242424242,228.34021739130435,185.9179743083004,237.62527997364955,221.19359354413703,193.77246723528188,179.58012187088275,-53071.416666666664,-53138.625,-52264.833333333336,-39913.458333333336,54.616040843214755,21.655533596837945
18,2016-06-21,1.5478260869565217,15405.388109354413,15408.562269433465,15400.768033596838,14249.47090909091,244.64021739130436,200.01797430830038,254.2669466403162,237.19359354413703,208.14746723528188,193.41345520421606,-52982.125,-53053.541666666664,-52177.583333333336,-39766.5,58.10770750988142,22.988866930171277
19,2016-06-22,1.556159420289855,16369.513109354413,16373.041436100131,16364.734700263503,15253.662575757575,261.5235507246377,214.06380764163373,271.60027997364955,253.65192687747037,222.5308005686152,207.17595520421608,-52895.125,-52971.541666666664,-52093.083333333336,-39654.666666666664,62.85354084321476,24.93886693017128
20,2016-06-23,1.564855072463768,17331.234848484848,17335.019696969695,17326.152091567852,16413.171666666665,278.5496376811594,228.95511198945982,289.25680171278,270.086709486166,237.8829744816587,221.5933465085639,-53225.083333333336,-53306.166666666664,-52425.25,-39956.541666666664,66.72745388669301,26.469301712779973
21,2016-06-24,1.6981884057971013,18295.65568181818,18299.5696969697,18290.285424901187,16741.787051282052,294.2538043478261,243.46622310057091,305.1776350461133,285.599209486166,252.6551967038809,235.92667984189723,-55653.291666666664,-55736.166666666664,-54854.5,-39784.5,70.54828722002635,28.077635046113308
22,2016-06-25,1.7068840579710143,19262.668725296444,19266.756653491437,19257.03759881423,17570.05977855478,310.59728260869565,257.4162231005709,321.9211133069829,301.5296442687747,266.9651967038809,249.52667984189725,-61029.791666666664,-61114.791666666664,-60652.79166666667,-40062.833333333336,74.05263504611331,29.48633069828722
23,2016-06-26,1.7068840579710143,20230.16039196311,20234.4858201581,20224.316765480897,18711.61811188811,327.1972826086957,272.0162231005709,339.03777997364955,317.6046442687747,266.9651967038809,249.52667984189725,-71028.79166666667,-71113.79166666667,-69811.08333333333,-39939.5,77.83596837944664,30.94883069828722
24,2016-06-27,1.7068840579710143,21197.669087615282,21202.15973320158,21191.629808959155,19794.481748251746,344.30597826086955,272.0162231005709,356.8029973649539,334.1872529644269,266.9651967038809,249.52667984189725,-81027.79166666667,-81112.79166666667,-79810.08333333333,-40249.833333333336,81.92292490118577,32.51404808959157
25,2016-06-28,1.7068840579710143,22164.221261528328,22168.942341897233,22158.016765480894,20802.61508158508,361.2842391304348,272.0162231005709,374.2986495388669,350.474209486166,266.9651967038809,249.52667984189725,-91026.79166666667,-91111.79166666667,-89809.08333333333,-40523.5,85.98814229249012,34.36187417654809
26,2016-06-29,1.7068840579710143,23129.300428194994,23134.2715085639,23122.90009881423,22120.481748251746,378.9175724637681,272.0162231005709,392.66114953886694,367.3033761528327,266.9651967038809,249.52667984189725,-101025.79166666667,-101110.79166666667,-99808.08333333333,-40376.166666666664,89.29647562582345,35.741040843214755
27,2016-06-30,1.7068840579710143,24094.665645586298,24099.83237812912,24088.021837944663,23017.036293706293,396.3914855072464,272.0162231005709,410.8611495388669,384.2207674571805,266.9651967038809,249.52667984189725,-111024.79166666667,-111109.79166666667,-109807.08333333333,-40671.083333333336,92.1921277997365,36.86277997364954
28,2016-07-01,1.8432476943346505,25060.138372859026,25065.51874176548,25053.262747035573,23598.681748251747,415.29148550724636,272.0162231005709,430.0884222661397,402.89804018445324,266.9651967038809,249.52667984189725,-121023.79166666667,-121108.79166666667,-119806.08333333333,-41378.458333333336,95.26940052700922,38.17187088274045
