data;IPCA acumulado
2020-03-01;1,02
2020-04-01;0,99
2020-05-01;0,41000000000000003
2020-06-01;1,02
2020-07-01;1,3
2020-08-01;1,23
2020-09-01;1,45
2020-01-01;1,94
2020-11-01;1,81
2020-12-01;2,06
2021-01-01;1,78
2021-02-01;1,48
2021-03-01;1,9300000000000002
2021-04-01;1,6
2021-05-01;1,44
2021-06-01;1,83
2021-07-01;1,72
2021-08-01;1,8900000000000001
2021-09-01;2,1399999999999997
2021-01-01;2,2
2021-11-01;2,17
2021-12-01;1,78
2022-01-01;1,58
2022-02-01;1,99
2022-03-01;1,95
2022-04-01;2,73
2022-05-01;1,5899999999999999
2022-06-01;1,69
2022-07-01;1,13
2022-08-01;0,27
2022-09-01;0,63
2022-01-01;1,16
2022-11-01;1,53
2022-12-01;1,52
2023-01-01;1,55
2023-02-01;1,76
2023-03-01;1,69
2023-04-01;1,5699999999999998
