data,IPCA,IPCA acumulado
2015-01-01,0.89,1.0089
2015-01-02,0.89,1.0089
2015-01-03,0.89,1.0089
2015-01-04,0.89,1.0089
2015-01-05,0.89,1.0089
2015-01-06,0.89,1.0089
2015-01-07,0.89,1.0089
2015-01-08,0.89,1.0089
2015-01-09,0.89,1.0089
2015-01-10,0.89,1.0089
2015-01-11,0.89,1.0089
2015-01-12,0.89,1.0089
2015-01-13,0.89,1.0089
2015-01-14,0.89,1.0089
2015-01-15,0.89,1.0089
2015-01-16,0.89,1.0089
2015-01-17,0.89,1.0089
2015-01-18,0.89,1.0089
2015-01-19,0.89,1.0089
2015-01-20,0.89,1.0089
2015-01-21,0.89,1.0089
2015-01-22,0.89,1.0089
2015-01-23,0.89,1.0089
2015-01-24,0.89,1.0089
2015-01-25,0.89,1.0089
2015-01-26,0.89,1.0089
2015-01-27,0.89,1.0089
2015-01-28,0.89,1.0089
2015-01-29,0.89,1.0089
2015-01-30,0.89,1.0089
2015-01-31,0.89,1.0089
2015-02-01,1.33,1.02231837
2015-02-02,1.33,1.02231837
2015-02-03,1.33,1.02231837
2015-02-04,1.33,1.02231837
2015-02-05,1.33,1.02231837
2015-02-06,1.33,1.02231837
2015-02-07,1.33,1.02231837
2015-02-08,1.33,1.02231837
2015-02-09,1.33,1.02231837
2015-02-10,1.33,1.02231837
2015-02-11,1.33,1.02231837
2015-02-12,1.33,1.02231837
2015-02-13,1.33,1.02231837
2015-02-14,1.33,1.02231837
2015-02-15,1.33,1.02231837
2015-02-16,1.33,1.02231837
2015-02-17,1.33,1.02231837
2015-02-18,1.33,1.02231837
2015-02-19,1.33,1.02231837
2015-02-20,1.33,1.02231837
2015-02-21,1.33,1.02231837
2015-02-22,1.33,1.02231837
2015-02-23,1.33,1.02231837
2015-02-24,1.33,1.02231837
2015-02-25,1.33,1.02231837
2015-02-26,1.33,1.02231837
2015-02-27,1.33,1.02231837
2015-02-28,1.33,1.02231837
2015-03-01,1.24,1.034995117788
2015-03-02,1.24,1.034995117788
2015-03-03,1.24,1.034995117788
2015-03-04,1.24,1.034995117788
2015-03-05,1.24,1.034995117788
2015-03-06,1.24,1.034995117788
2015-03-07,1.24,1.034995117788
2015-03-08,1.24,1.034995117788
2015-03-09,1.24,1.034995117788
2015-03-10,1.24,1.034995117788
2015-03-11,1.24,1.034995117788
2015-03-12,1.24,1.034995117788
2015-03-13,1.24,1.034995117788
2015-03-14,1.24,1.034995117788
2015-03-15,1.24,1.034995117788
2015-03-16,1.24,1.034995117788
