data,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento
2015-01-01,0.7090909090909091,831.6363636363636,831.9545454545455,831.4545454545455,523.9499999999999,17.418181818181818,11.563636363636364,18.0,16.463636363636365,12.590909090909092,10.572727272727272,-5380.541666666667,-5387.125,-5384.333333333333,-5270.083333333333,12.909090909090908,6.972727272727273
2015-01-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-11,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-12,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-13,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-14,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-15,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-16,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-17,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-18,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-19,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-20,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-21,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-22,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-23,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-24,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-25,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-26,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-27,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-28,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-29,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-30,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-01-31,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-01,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-11,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-12,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-13,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-14,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-15,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-16,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-17,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-18,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-19,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-20,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-21,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-22,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-23,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-24,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-25,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-26,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-27,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-02-28,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-01,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-11,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-12,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-13,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-14,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-15,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-16,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-17,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-18,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-19,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-20,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-21,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-22,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-23,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-24,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-25,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-26,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-27,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-28,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-29,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-30,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-03-31,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-01,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-02,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-03,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-04,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-05,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-06,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-07,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-08,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-09,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-10,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-11,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-12,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-13,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-14,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-15,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-16,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-17,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-18,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-19,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-20,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-21,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-22,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-23,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-24,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-25,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-26,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-27,,,,,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
2015-04-28,0.02,831.28,831.4000000000001,831.088888888889,1545.4625,14.84,11.25,15.677777777777777,14.066666666666666,12.2,10.266666666666667,-6217.333333333333,-6221.833333333333,-5799.5,-6154.041666666667,5.4375,2.8
2015-04-29,0.03333333333333333,831.5208333333334,831.6958333333333,831.3166666666666,559.1999999999999,11.766666666666666,11.270833333333334,12.216666666666667,11.408333333333333,11.674999999999999,10.866666666666667,97.66666666666667,94.5,96.83333333333333,161.0,6.741666666666667,3.6750000000000003
2015-04-30,0.13333333333333333,831.625,831.8041666666667,831.4291666666667,806.9583333333334,10.695833333333333,10.479166666666666,11.104166666666666,10.208333333333334,10.85,9.983333333333333,98.83333333333333,97.95833333333333,98.54166666666667,149.41666666666666,7.391666666666667,4.516666666666667
2015-05-01,0.008333333333333333,831.4375,831.6416666666668,831.275,862.4499999999999,10.625,9.7875,11.125,10.045833333333333,10.2875,9.354166666666666,96.95833333333333,92.33333333333333,94.79166666666667,248.41666666666666,5.1499999999999995,2.6999999999999997
